message_id,datetime,residence_id,has_media,text_clean
MSG_SI9NB74X2EK3,2025-12-27 01:42:18,RES_RABAT_RIHAB,0,Ascenseur en panne depuis ce matin prs du tableau lectrique Personnes ges au 5e
MSG_1YV2STN7E36H,2026-01-15 09:15:15,RES_FES_ANDALOUS,0,Ascenseur en panne depuis depuis 3 jours prs du tableau lectrique Personnes ges au 5e
MSG_J88QEOZ0KZ4Z,2026-01-16 04:58:09,RES_RABAT_RIHAB,0,Pouvezvous menvoyer le dtail des charges du mois dernier
MSG_6RIDLOFAS1EK,2026-01-15 07:26:07,RES_FES_ATLAS,0,Cest quoi la procdure pour rserver la salle polyvalente
MSG_FFQOT8HLJEFY,2026-01-18 14:53:54,RES_FES_ATLAS,0,Rclamation propret cage descalier A sale depuis depuis 30 min avec des tincelles
MSG_LPU0DK0GET8T,2026-01-02 13:31:02,RES_FES_ANDALOUS,0,Inondation majeure au couloir du 3e leau monte vite prs du tableau lectrique Urgent
MSG_6TA7YPP5ZP7R,2026-01-07 20:10:21,RES_FES_ZAYTUNA,0,lgarage bab ma kayt7ellch 7abssna
MSG_UTDD2EC2IHOY,2026-01-20 15:06:44,RES_FES_ATLAS,0,salam kayn moshkil f lma f darna ma kaynch lma mn sbah
MSG_SUSMESJT2JPN,2026-01-12 19:28:10,RES_FES_ANDALOUS,0,Cest quoi la procdure pour rserver la salle polyvalente
MSG_LQC3C54WSQT2,2025-12-22 07:47:41,RES_CASA_MARINA,0,La porte du garage est bloque depuis depuis 1h Impossible dentrersortir a devient dangereux
MSG_IUU9K9XJUY0B,2026-01-18 18:30:53,RES_RABAT_RIHAB,0,Forte odeur de gaz au couloir du 3e On a peur dune fuite Pouvezvous agir tout de suite
MSG_NY9V20YAR821,2026-01-17 08:59:34,RES_FES_ANDALOUS,0,ASCENSEUR EN PANNE DEPUIS DEPUIS 3 JOURS ET LEAU ARRIVE CHEZ PLUSIEURS VOISINS PERSONNES GES AU 5E
MSG_K8LW2LM349EL,2025-12-30 02:00:32,RES_CASA_MARINA,0,Le badge tlcommande ne marche plus on entend un bruit bizarre Comment faire
MSG_RTP0LZJJEGET,2025-12-29 07:42:54,RES_FES_ANDALOUS,0,Inondation majeure au local poubelles leau monte vite on entend un bruit bizarre Urgent
MSG_7VCNEAS6Y3VG,2026-01-19 04:14:00,RES_CASA_OASIS,0,salam kayn moshkil f lma f darna ma kaynch lma mn sbah
MSG_CZO2SUG5HCBB,2026-01-06 19:52:02,RES_RABAT_RIHAB,0,Quelquun est gar sur ma place F09 Pouvezvous vrifier a devient dangereux
MSG_Y4LYK83TQLL8,2026-01-08 22:53:53,RES_CASA_OASIS,0,Agression bagarre au ascenseur B et personne ne rpond Merci denvoyer la scurit prvenir les autorits
MSG_4Q5V7C6S5NKB,2025-12-27 15:40:10,RES_FES_ANDALOUS,0,Le badge tlcommande ne marche plus et leau arrive chez plusieurs voisins Comment faire
MSG_DBVZB0OIH5CS,2026-01-03 09:00:58,RES_FES_ANDALOUS,0,ri7a dyal gaz f lhall hadi khatira
MSG_36U8UEIHX74D,2025-12-29 13:55:37,RES_FES_ATLAS,0,Ascenseur en panne depuis depuis 30 min prs du tableau lectrique Personnes ges au 5e
MSG_4VPW232UTVG9,2026-01-03 12:56:38,RES_FES_ZAYTUNA,0,Les poubelles dbordent et leau arrive chez plusieurs voisins Merci de programmer un passage
MSG_6KOF8KRD5EQY,2026-01-15 13:22:11,RES_CASA_MARINA,0,Ascenseur bloqu avec une voisine lintrieur au cage descalier A Panique depuis ce matin Faites le ncessaire SVP svp
MSG_4P501NOUHTCS,2026-01-16 00:37:47,RES_FES_ZAYTUNA,0,Panne deau gnrale depuis depuis 2h On na plus deau prs du tableau lectrique merci
MSG_1ESP7BM41QES,2026-01-04 15:45:37,RES_RABAT_RIHAB,0,Pouvezvous menvoyer le dtail des charges du mois dernier
MSG_7PZE9VIFTTD9,2025-12-25 20:11:30,RES_CASA_MARINA,0,ASCENSEUR BLOQU AVEC UN RSIDENT LINTRIEUR AU TOIT PANIQUE A DEVIENT DANGEREUX FAITES LE NCESSAIRE SVP MERCI
MSG_6DVTJA0ASSNH,2026-01-04 16:03:07,RES_CASA_MARINA,0,Pouvezvous menvoyer le dtail des charges du mois dernier
MSG_LAY64YFDS0DJ,2025-12-31 13:19:16,RES_CASA_MARINA,0,Le badge tlcommande ne marche plus prs du tableau lectrique Comment faire
MSG_EZDUXLEZ896D,2026-01-09 21:18:15,RES_CASA_OASIS,0,La porte du garage est bloque depuis depuis 1h Impossible dentrersortir et leau arrive chez plusieurs voisins
MSG_46AEXL68J0NM,2025-12-25 20:37:26,RES_CASA_MARINA,0,Quelquun est gar sur ma place F09 Pouvezvous vrifier depuis ce matin
MSG_6FF7SO8W5038,2025-12-30 20:20:58,RES_CASA_MARINA,0,Cest quoi la procdure pour rserver la salle polyvalente
